# This CSV contains satellite, iagos and ERA5 data of the collocated IAGOS flights.
# Each row corresponds to one flight instance with satellite observations, flight data, annotations, meteorological data, and efficiency data.
# Column descriptions:
# path: Relative path to the collocation folder, satellite: Satellite platform (Sentinel or Landsat), scene_id: Satellite scene identifier, sensing_time: Timestamp of the satellite image acquisition, crs: Coordinate reference system of the satellite image, extent: Spatial extent of the image, visualization_url: URL to visualize the scene quickly (if available), base_url: Base URL to Google Sentinel-2 dataset (Sentinel-2 only), icao24: ICAO24 aircraft identifier, registration: Aircraft registration, icao_code: ICAO aircraft type code, airframe_type: Airframe type from IAGOS, iagos_number: IAGOS aircraft number, engine_uid: Engine identifier, longitude: Aircraft longitude at sensing time, latitude: Aircraft latitude at sensing time, altitude: Aircraft altitude (GPS or barometric), air_pressure: Air pressure (Pa), vertical_rate: Vertical rate (ft/min), heading: Aircraft heading (deg, clockwise north = 0), x: X coordinate of contrail annotation, y: Y coordinate of contrail annotation, contrail_formation: Boolean flag if contrail formed, contrail_label: Contrail linestring or (multi)polygon (JSON), out_of_frame_flag: Boolean flag if contrail continues outside image frame, iagos_file: Filename of IAGOS data, air_temperature_iagos: IAGOS Air Temperature (K), air_temperature_iagos_error: IAGOS Air Temperature Error (K), air_temperature_iagos_validity: IAGOS Air Temperature Validity, rhl_iagos: IAGOS Relative humidity (Liquid Water), rhl_iagos_error: IAGOS Relative humidity (Liquid Water) Error, rhl_iagos_validity: IAGOS Relative humidity (Liquid Water) Validity, rhi_iagos: IAGOS Relative humidity (Ice), rhi_iagos_error: IAGOS Relative humidity (Ice), rhi_iagos_validity: IAGOS Relative humidity (Ice), northward_wind_iagos: IAGOS Meridional Wind (m/s), eastward_wind_iagos: IAGOS Zonal Wind (m/s), air_temperature_era5: ERA5 Air Temperature (K), rhl_era5: ERA5 Relative humidity (Liquid Water), rhi_era5: ERA5 Relative humidity (Ice), northward_wind_era5: ERA5 Meridional Wind (m/s), eastward_wind_era5: ERA5 Meridional Wind (m/s), efficiency_PS_IAGOS: PS-computed aircraft efficiency using IAGOS weather data interpolated to sensing time, efficiency_BADA4_IAGOS: BADA 4.2-computed aircraft efficiency using IAGOS weather data interpolated to sensing time, efficiency_PS_ERA5: PS-computed aircraft efficiency using ERA5 weather data interpolated to sensing time, efficiency_BADA4_ERA5: BADA 4.2-computed aircraft efficiency using ERA5 weather data interpolated to sensing time
path,satellite,scene_id,sensing_time,crs,extent,visualization_url,base_url,icao24,registration,icao_code,airframe_type,iagos_number,engine_uid,longitude,latitude,altitude,air_pressure,vertical_rate,heading,x,y,lon_annotation,lat_annotation,contrail_formation,contrail_label,out_of_frame_flag,iagos_file,air_temperature_iagos,air_temperature_iagos_error,air_temperature_iagos_validity,rhl_iagos,rhl_iagos_error,rhl_iagos_validity,rhi_iagos,rhi_iagos_error,rhi_iagos_validity,northward_wind_iagos,eastward_wind_iagos,air_temperature_era5,rhl_era5,rhi_era5,northward_wind_era5,eastward_wind_era5,efficiency_PS_IAGOS,efficiency_BADA4_IAGOS,efficiency_PS_ERA5,efficiency_BADA4_ERA5
intersects_landsat/2014/2014081601181505_LC81180502014228LGN01,Landsat,LC81180502014228LGN01,2014-08-16T02:29:39.791896Z,EPSG:32650,"[578130.0, 618090.0, 1660260.0, 1684230.0]",,,780192,B-HLR,A333,A330-343,4,01P14RR101,117.91211169339999,15.1240360054,10730.340607799999,26189.999999999996,0.0,154.09422266613376,597034.3148997503,1674017.4015337045,117.90314014685833,15.140062732928477,False,,,IAGOS_timeseries_2014081601181505_L2_3.1.3.nc4,237.38406041131591,0.75,2.0,0.17659392224994303,0.06259853816431761,2.0,0.25117418789112567,0.08903548572646082,0.0,0.5802026,-7.7,236.07786313709886,0.2184834566753709,0.31149049599521245,-1.5404493213668282,-10.290973447601415,0.3393823109104291,0.32146633233694955,0.33369396422080355,0.32149777227767107
intersects_landsat/2014/2014051302035307_LC82050302014133LGN01,Landsat,LC82050302014133LGN01,2014-05-13T11:19:07.510592Z,EPSG:32629,"[375900.0, 415530.0, 4769970.0, 4793940.0]",,,34114E,EC-GUQ,A343,A340-313,5,2CM015,-10.265168224,43.180258527999996,0.0,21600.0,0.0,99.52378360993015,395105.2079326088,4781844.335008227,-10.290731677478282,43.18208847355472,True,"{""type"": ""LineString"", ""coordinates"": [[-10.290731677473426, 43.18208847355273], [-10.295527928366768, 43.18282684073436]]}",,IAGOS_timeseries_2014051302035307_L2_3.1.3.nc4,217.52999877929688,0.7699999809265137,2.0,0.47562765266418455,0.11074899099683762,2.0,0.8220089841728211,0.1914032260904312,0.0,-8.7255296,11.4744704,216.84305569474998,0.45487208138486473,0.7570752228822981,-7.828960412581371,12.306410461041882,0.3239913044143476,0.30636683971150974,0.3233333759206159,0.3041886601065958
intersects_landsat/2014/2014010910183902_LC82010272014009LGN01,Landsat,LC82010272014009LGN01,2014-01-09T10:54:48.745290Z,EPSG:32630,"[576900.0, 616860.0, 5269380.0, 5293350.0]",,,392F34,F-GLZU,A343,A340-313,3,2CM015,-1.702114167,47.677529239,10527.93089675,23800.0,0.0,239.97688360216415,598168.8325337135,5282066.86908033,-1.691928790910238,47.68453141810878,True,"{""type"": ""LineString"", ""coordinates"": [[-1.6919287909064962, 47.68453141810577], [-1.6716123854700005, 47.692537301180494]]}",,IAGOS_timeseries_2014010910183902_L2_3.1.2.nc4,215.61436143856048,0.7400000095367432,2.0,0.18356367697339504,0.08814260356772691,2.0,0.3231886397910863,0.1551869309920445,0.0,18.0127355,37.88183875,215.35675630461438,0.09742014376858807,0.16389443795048667,18.091234239895698,38.74334222785732,0.3234304363050912,0.3138929833155739,0.3234581304015976,0.3107921975686854
intersects_landsat/2014/2014032500054506_LC81180432014084LGN01,Landsat,LC81180432014084LGN01,2014-03-25T02:27:31.539962Z,EPSG:32651,"[159390.0, 199380.0, 2621550.0, 2645520.0]",,,780192,B-HLR,A333,A330-343,4,01P14RR101,119.85509005700001,23.78153455035,12234.79049715,20650.0,0.0,227.42838089526646,182072.5659431908,2635802.8405268216,119.8800136317449,23.80201429213254,False,,,IAGOS_timeseries_2014032500054506_L2_3.1.3.nc4,222.07000732421875,0.7799999713897705,2.0,0.18226997785164417,0.09162084822261334,2.0,0.3013874100393951,0.15149708282316476,0.0,15.7,35.8,221.73021027322716,0.2524919781250343,0.40543280784645835,19.02611577047424,36.24614821953275,0.34054219368499006,0.3198025010437443,0.34226873994459367,0.32030757944995586
intersects_landsat/2014/2014041710191503_LC81990242014107LGN01,Landsat,LC81990242014107LGN01,2014-04-17T10:40:04.117228Z,EPSG:32631,"[572760.0, 612750.0, 5648880.0, 5672850.0]",,,3C64F4,D-AIGT,A343,A340-313,1,2CM015,4.3113807318,51.0947261982,0.0,32409.276229999996,1083.9750286663257,288.779954565982,597472.7636702214,5659264.175719369,4.3914234640344905,51.07660132565469,False,,,IAGOS_timeseries_2014041710191503_L2_3.1.3.nc4,229.3516217413025,0.7799999713897705,2.0,0.4074862324914336,0.08192406733155251,2.0,0.6273121754630208,0.12611957443281263,0.0,0.055861400000000005,14.4,228.84195843366874,0.44958557468129273,0.6819293529970357,-3.2293039027536796,13.246870343669913,0.30740851431299243,0.30092456130098816,0.31629282081499877,0.2679971187281241
intersects_landsat/2014/2014072910193003_LC82000242014210LGN02,Landsat,LC82000242014210LGN02,2014-07-29T10:46:12.700015Z,EPSG:32631,"[490290.0, 530250.0, 5663400.0, 5687370.0]",,,3C64F4,D-AIGT,A343,A340-313,1,2CM015,3.126517447875,51.232217507875,0.0,24900.0,0.0,283.7401971047985,509916.4211343274,5675553.903157585,3.1420280454688063,51.2312773990735,False,,,IAGOS_timeseries_2014072910193003_L2_3.1.3.nc4,223.9467487709999,0.8100000023841858,2.0,0.4740500295155123,0.10444098716148176,2.0,0.7695812975241244,0.16955138062214478,0.0,-6.402501125,3.9700015,223.10350770341137,0.5057320387226474,0.8032909076850976,-7.325928358609495,5.547224993243532,0.3238774936043776,0.31481307257012203,0.32263388371928414,0.308193692565392
intersects_landsat/2014/2014041622202806_LC81030732014107LGN01,Landsat,LC81030732014107LGN01,2014-04-17T01:06:10.385387Z,EPSG:32753,"[362550.0, 402510.0, -2092440.0, -2068470.0]",,,780192,B-HLR,A333,A330-343,4,01P14RR101,133.882470594425,-18.812029226,11684.4,22730.0,0.0,340.78855328874744,384041.09376620804,-2084963.072798172,-41.76256691660924,-71.27316447287141,False,,,IAGOS_timeseries_2014041622202806_L2_3.1.3.nc4,228.72999572753906,0.7699999809265137,2.0,0.19499999284744263,0.08161943599262088,2.0,0.30205559730529785,0.12642876475408674,0.0,-2.38073065,14.2,227.82901418241818,0.14423309875080242,0.2206500342324749,-1.3928437359803354,14.18248636315636,0.34166704670156867,0.32426486996955645,0.3407281280663663,0.322549956224296
intersects_landsat/2014/2014112710182702_LC81990272014331LGN01,Landsat,LC81990272014331LGN01,2014-11-27T10:41:23.614433Z,EPSG:32631,"[474060.0, 514050.0, 5229210.0, 5253180.0]",,,392F34,F-GLZU,A343,A340-313,3,2CM015,2.9071529897,47.325863608225,7832.166494874999,36127.71134,664.37007975,164.51943002404653,493397.4781951223,5243446.700298934,2.912590589701089,47.34445225482163,False,,,IAGOS_timeseries_2014112710182702_L2_3.1.2.nc4,234.71770678627396,0.7184639384193867,2.0,0.5409216682475656,0.0842664187721759,2.0,0.7898206242823005,0.12304054534875788,0.0,10.13072165,11.776804125,233.44707285200192,0.44325471881616274,0.6467131958542129,10.895493389520972,10.07972703106135,0.31878724717706974,0.312460096281489,0.3164252387877377,0.2763381998346727
intersects_landsat/2014/2014033110114003_LC82080222014090LGN01,Landsat,LC82080222014090LGN01,2014-03-31T11:35:05.691121Z,EPSG:32629,"[529980.0, 569940.0, 6005160.0, 6029130.0]",,,3C64F4,D-AIGT,A343,A340-313,1,2CM015,-8.246849811399999,54.300910618775,0.0,24910.0,0.0,289.99717971432955,549448.6294544775,6017372.749514812,-8.24011477284082,54.30184967404377,True,"{""type"": ""LineString"", ""coordinates"": [[-8.240114772848125, 54.30184967404551], [-8.222729024080666, 54.29867609918905]]}",,IAGOS_timeseries_2014033110114003_L2_3.1.3.nc4,217.02690932946015,0.8100000023841858,2.0,0.3347316584495977,0.09940823437973298,2.0,0.5813309440450967,0.17264291469100118,0.0,16.042278025,-9.215443950000001,217.09390011896406,0.20115034010886562,0.33428056071299683,17.65825923887517,-12.23940410796833,0.32460049032793975,0.3194013497883485,0.3195405839385603,0.3125887540009122
intersects_landsat/2014/2014062910123503_LC81980232014180LGN01,Landsat,LC81980232014180LGN01,2014-06-29T10:33:25.409670Z,EPSG:32631,"[580920.0, 620910.0, 5798880.0, 5822850.0]",,,3C64F4,D-AIGT,A343,A340-313,1,2CM015,4.4974155832500005,52.43684942825,0.0,31331.8066,576.2023322020636,301.6843586465243,601123.2709219836,5810689.287699558,4.487587155873165,52.437037621030846,False,,,IAGOS_timeseries_2014062910123503_L2_3.1.3.nc4,228.3255416456604,0.7799999713897705,2.0,0.8527709896551072,0.12994803020916879,2.0,1.3261328065761924,0.20208108430143445,0.0,7.03975825,4.26024175,227.69187909330608,0.5244046412091379,0.8029943494489628,6.388469691652837,4.923719316926857,0.30904790853655895,0.2884582260910606,0.3165703216442802,0.2618637582643109
