timestamp,icao24,latitude,longitude,groundspeed,track,vertical_rate,callsign,onground,alert,spi,squawk,altitude,geoaltitude,last_position,lastcontact,serials,hour
2022-01-16 11:42:07+00:00,48506d,53.4683641336732,-5.9910224465763235,496.0,249.5926342236786,-64.0,TFL395,False,False,False,2145,35975.0,36025.0,1642333326.56,1642333326.78,"[91656, 81650811, 701050913, -1408234503, 91338, 390080269, -1408234646, -1408234740, 612321662, -1408232670, -1408236315, -1408233824, -1408236794, -1408234971, 1801938661, 1686393261, 1095690504, -1408234933, 1200855887, -1408233996]",2022-01-16 11:00:00+00:00
2022-01-16 11:42:08+00:00,48506d,53.46748352050781,-5.994925362723166,496.0,249.48447512692354,-64.0,TFL395,False,False,False,2145,36000.0,36050.0,1642333327.622,1642333327.861,"[91656, 81650811, 701050913, -1408234503, 91338, 390080269, -1408234646, -1408234740, 612321662, -1408232670, -1408236315, -1408233824, -1408236794, -1408234971, 1801938661, 1686393261, 1095690504, -1408236799, -1408234933, 1200855887, -1408233996]",2022-01-16 11:00:00+00:00
2022-01-16 11:42:09+00:00,48506d,53.46640893968485,-5.999666101792286,496.0,249.48447512692354,0.0,TFL395,False,False,False,2145,35975.0,36025.0,1642333328.948,1642333328.999,"[91656, -1408236711, 81650811, 701050913, -1408234503, 91338, 390080269, -1408234646, -1408234740, 612321662, -1408232670, -1408236315, -1408233824, -1408234971, 1801938661, 1686393261, 1095690504, -1408236799, -1408234933, 1200855887, -1408233996]",2022-01-16 11:00:00+00:00
2022-01-16 11:42:10+00:00,48506d,53.4656982421875,-6.002851213727638,496.0,249.48447512692354,0.0,TFL395,False,False,False,2145,35975.0,36025.0,1642333329.85,1642333329.998,"[91656, -1408236711, 81650811, 701050913, -1408234503, 91338, 390080269, -1408234646, -1408234740, 612321662, -1408232670, -1408236315, -1408233824, -1408234971, 1801938661, 1686393261, 1095690504, -1408236799, -1408234933, 1200855887, -1408233996]",2022-01-16 11:00:00+00:00
2022-01-16 11:42:11+00:00,48506d,53.46482616359904,-6.006855684168215,496.0,249.48447512692354,0.0,TFL395,False,False,False,2145,36000.0,36050.0,1642333330.917,1642333330.996,"[91656, -1408236711, 81650811, 701050913, -1408234503, 91338, 390080269, -1408234646, -1408234740, 612321662, -1408232670, -1408236315, -1408233824, -1408234971, 1801938661, 1686393261, 1095690504, -1408236799, -1408234933, 1200855887, -1408233996]",2022-01-16 11:00:00+00:00
2022-01-16 11:42:12+00:00,48506d,53.46409606933594,-6.01007080078125,496.0,249.48447512692354,0.0,TFL395,False,False,False,2145,35975.0,36025.0,1642333331.834,1642333332.0,"[91656, -1408236711, 81650811, 701050913, -1408234503, 91338, 390080269, -1408234646, -1408234740, 612321662, -1408232670, -1408236315, -1408233824, -1408234971, 1801938661, 1686393261, 1095690504, -1408236799, -1408234933, 1200855887, -1408233996]",2022-01-16 11:00:00+00:00
2022-01-16 11:42:13+00:00,48506d,53.463383044226696,-6.013318230124071,496.0,249.48447512692354,-64.0,TFL395,False,False,False,2145,36000.0,36050.0,1642333332.738,1642333332.979,"[91656, -1408236711, 81650811, 701050913, -1408234503, 91338, 390080269, -1408234646, -1408234740, 612321662, -1408232670, -1408236315, -1408233824, -1408234971, 1801938661, 1686393261, 1095690504, -1408236799, -1408234933, 1200855887, -1408233996]",2022-01-16 11:00:00+00:00
2022-01-16 11:42:14+00:00,48506d,53.46263122558594,-6.016505650111583,496.0,249.48447512692354,0.0,TFL395,False,False,False,2145,36000.0,36025.0,1642333333.693,1642333333.994,"[91656, -1408236711, 81650811, 701050913, -1408234503, 91338, 390080269, -1408234646, -1408234740, 612321662, -1408232670, -1408236315, -1408233824, -1408234971, 1801938661, 1686393261, 1095690504, -1408236799, -1408234933, 1200855887, -1408233996]",2022-01-16 11:00:00+00:00
2022-01-16 11:42:15+00:00,48506d,53.46185302734375,-6.02011544363836,496.0,249.48447512692354,0.0,TFL395,False,False,False,2145,36000.0,36050.0,1642333334.644,1642333334.967,"[91656, -1408236711, 81650811, 701050913, -1408234503, 91338, 390080269, -1408234646, -1408234740, 612321662, -1408232670, -1408236315, -1408233824, -1408234971, 1801938661, 1686393261, 1095690504, -1408236799, -1408234933, 1200855887, -1408233996]",2022-01-16 11:00:00+00:00
2022-01-16 11:42:16+00:00,48506d,53.460776118908896,-6.0247892491958055,497.0,249.37646861667474,0.0,TFL395,False,False,False,2145,35975.0,36025.0,1642333335.935,1642333335.996,"[91656, -1408236711, 81650811, 701050913, -1408234503, 91338, 390080269, -1408234646, -1408234740, 612321662, -1408232670, -1408236315, -1408233824, -1408235370, -1408234971, 1801938661, 1686393261, 1095690504, -1408236799, -1408234933, 1200855887, -1408233996]",2022-01-16 11:00:00+00:00
2022-01-16 11:42:17+00:00,48506d,53.45998473086599,-6.028424431295946,497.0,249.37646861667474,0.0,TFL395,False,False,False,2145,35975.0,36025.0,1642333336.909,1642333336.991,"[91656, -1408236711, 81650811, 701050913, -1408234503, 91338, 390080269, -1408234646, -1408234740, 612321662, -1408232670, -1408236315, -1408233824, -1408235370, -1408234971, 1801938661, 1686393261, 1095690504, -1408236799, -1408234933, 1200855887, -1408233996]",2022-01-16 11:00:00+00:00
