,error_naive,error_pred,ontrack_error_naive,offtrack_error_naive,ontrack_error,offtrack_error
0,958.1074852273914,114.24744243296301,899.4027173737323,-330.21917756166454,99.519594358944,-56.10996739532504
1,1350.8010330910718,450.44936093475314,892.7452180351886,1013.7403053421574,450.0264822265497,-19.513894058450603
2,139.37438008540985,488.0430003123216,89.94703581928889,106.46477620093819,482.07867083436855,76.0665845192311
3,694.1335965352014,22.556708534564397,-694.0473076822936,-10.944612275145573,-20.86631488986264,-8.56749688242645
4,1517.2882968813703,1154.693413683556,1425.458657825225,-519.837850376709,1153.313573385072,-56.432978389766504
5,1660.388313483047,265.4351451999134,872.1658469384893,-1412.8751137256063,265.2907114018335,-8.755269910642212
6,1393.3535200710137,423.51378999752694,-1376.7818065986435,-214.25659596208493,407.365508708016,115.83295141335506
7,2877.519386645426,163.33698554854288,2621.6859239665105,-1186.1200346491637,-161.6625543583752,-23.327866735093792
8,1569.3150230125652,350.7633020327372,-1552.1491891845546,231.47901841561674,349.9204487764766,24.30171971236728
9,1159.6908992834813,150.00049597589276,-647.4708114517779,962.1146138578843,146.00888921540448,-34.3737263487327
10,1973.548990180999,351.83359088630436,1710.2605650426158,-984.8372537148227,351.79743266271606,5.044011089712058
11,1891.6512943564376,119.82769035668856,-1883.7401089334082,172.82309288962745,119.75728122048999,4.107185276428421
12,1179.782702324283,143.57560954473632,1179.315459288198,33.20048474727889,123.96183558418815,-72.43907077497116
13,3226.5887620811623,161.89551937127547,3207.8293574657573,-347.427478719334,110.09840471832652,118.69498924122536
14,2834.704810684009,241.77808796639718,2834.432903575411,39.261671438282065,238.136488652392,-41.80498287281165
15,1422.9182864821696,315.14042159715586,-1187.0637939413227,-784.5865147445415,313.90428674744993,27.885194745740648
16,2429.1914411710172,89.4112814405069,2426.5501224416967,-113.24999398105653,52.394482699646545,72.45133146788935
17,166.3195120866499,734.4576817284883,81.4568874080637,145.00674327261927,725.0778099374809,-117.00536648484007
18,2225.808780286436,377.7244293022187,1641.760952833002,1502.9456743851608,369.3161878415044,-79.2546395481392
19,2762.5971997750867,63.02354051099974,-2749.742341848369,266.196058669915,18.731758267141952,60.17547582498192
20,1111.3700323902267,33.70350351151705,1101.2907360818933,149.33875423096003,-26.617528853765986,20.674460250990283
21,1282.7712126208414,173.14311981391555,610.1474762338125,1128.3714110053716,170.87753006990923,27.917909235886178
