,x_true,y_true,x_pred,y_pred,x_naive,y_naive,ontrack_error,offtrack_error,ontrack_error_naive,offtrack_error_naive,heading,base_url
0,544475.9803572069,4622471.912164313,544627.2349636522,4622434.580115595,541684.4877293939,4622904.117469675,-155.79357442591544,0.0,2824.5777975679575,29.007227142425414,98.69991719591587,gs://gcp-public-data-sentinel-2/tiles/29/T/NG/S2A_MSIL1C_20220102T113501_N0301_R080_T29TNG_20220102T133526.SAFE
1,503110.88945833786,4371833.331646707,503279.4965962721,4371969.125373856,500121.661401297,4371180.997308871,216.49088501695692,1.1641532182693481e-10,-2065.6690734190865,-2341.2340074413623,209.68203977619817,gs://gcp-public-data-sentinel-2/tiles/29/S/MD/S2A_MSIL1C_20220102T113501_N0301_R080_T29SMD_20220102T133526.SAFE
2,442997.8313922464,4030114.893993067,443127.2787360307,4030181.7976139556,442456.74027949973,4030844.771100512,145.7144786931171,-5.820766091346741e-11,-235.82843136351786,-866.4645990914722,246.90317808183912,gs://gcp-public-data-sentinel-2/tiles/10/S/DF/S2B_MSIL1C_20220102T190759_N0301_R013_T10SDF_20220102T203338.SAFE
3,602324.7417419261,4529745.598189688,602708.4206134749,4529777.704482672,601796.3346175303,4529967.04545517,385.0198573088707,0.0,-478.803388830277,-347.02420781603485,260.1562766093056,gs://gcp-public-data-sentinel-2/tiles/14/T/NL/S2B_MSIL1C_20220102T172719_N0301_R012_T14TNL_20220102T193130.SAFE
4,555998.3172401192,3414802.022263451,556427.6806869819,3415621.6148706954,554926.3196033596,3416732.689207453,925.2486213723525,0.0,1241.51009966361,-1837.9581902352604,206.2398184573236,gs://gcp-public-data-sentinel-2/tiles/28/R/EV/S2A_MSIL1C_20220105T115221_N0301_R123_T28REV_20220105T134308.SAFE
5,635846.7243564981,5561864.52660243,635933.2441599056,5561874.051935525,633288.0558054489,5562373.574284581,87.04256632377879,0.0,-2165.1483566470265,-1470.8478407803955,248.5052163758077,gs://gcp-public-data-sentinel-2/tiles/29/U/PR/S2A_MSIL1C_20220105T114501_N0301_R123_T29UPR_20220105T134327.SAFE
6,514928.92686688376,4266588.197402407,514999.8863680283,4266640.970431064,514895.43326613324,4266488.923351831,88.43213983773295,1.1641532182693481e-10,-72.09816907085212,102.6992871375447,247.7183353781192,gs://gcp-public-data-sentinel-2/tiles/14/S/NH/S2A_MSIL1C_20220107T172721_N0301_R012_T14SNH_20220107T193013.SAFE
7,515289.61820612015,5523212.0897919275,515382.8831095914,5523422.490266686,516005.43064456515,5524020.785108532,230.14495866347184,1.1641532182693481e-10,1049.336801066882,272.82705481003944,207.81267491933664,gs://gcp-public-data-sentinel-2/tiles/31/U/ER/S2A_MSIL1C_20220110T105421_N0301_R051_T31UER_20220110T125352.SAFE
8,456083.0734674276,5746532.245834972,456080.267640218,5746526.433094411,457733.2682290664,5746091.759445522,-6.45450378838639,-1.1641532182693481e-10,1070.766157055129,1334.2524892562913,232.34005371105312,gs://gcp-public-data-sentinel-2/tiles/29/U/MT/S2B_MSIL1C_20220110T114349_N0301_R123_T29UMT_20220110T122252.SAFE
9,662935.9481916002,6448969.5303855445,662972.0341201387,6448923.354261345,659974.958146612,6449258.817292848,58.603998878648085,-1.1641532182693481e-10,-2223.8569059084175,-2050.6508571528498,235.2677137587911,gs://gcp-public-data-sentinel-2/tiles/33/V/XE/S2A_MSIL1C_20220111T102411_N0301_R065_T33VXE_20220111T111251.SAFE
10,746974.2166783815,4952612.087844494,746981.9833192728,4952668.202862287,748662.6887778691,4952271.572864962,56.64994203578232,0.0,1175.4483193175977,1285.8834539027139,236.72511201516508,gs://gcp-public-data-sentinel-2/tiles/17/T/QK/S2A_MSIL1C_20220113T160631_N0301_R097_T17TQK_20220113T180520.SAFE
11,541141.8114295019,5468059.337694796,541385.103572696,5468000.8023465555,538571.8375593601,5468891.380356155,250.2347976074811,1.1641532182693481e-10,-2680.48565377568,-352.3497871408201,280.9070781630658,gs://gcp-public-data-sentinel-2/tiles/30/U/WV/S2B_MSIL1C_20220114T112329_N0301_R037_T30UWV_20220114T121513.SAFE
12,638218.5989284188,3849822.596305384,638275.4684844938,3849643.3203611006,638552.7699913674,3848701.9346884894,188.07979850795923,-1.1641532182693481e-10,1152.2687817115277,176.18678463239053,334.7788848063086,gs://gcp-public-data-sentinel-2/tiles/14/S/PD/S2A_MSIL1C_20220114T171651_N0301_R112_T14SPD_20220114T192038.SAFE
13,526363.2035931078,5550581.080470756,526462.5117441013,5550881.6850255355,526540.5501638036,5550434.639655213,316.58364962219974,1.1641532182693481e-10,-69.0995865028092,242.77436165377455,202.84605720391997,gs://gcp-public-data-sentinel-2/tiles/31/U/ER/S2B_MSIL1C_20220115T105309_N0301_R051_T31UER_20220115T114044.SAFE
14,764704.5484061396,5786356.587301588,764837.6945634001,5786333.378125073,761897.1743185851,5786556.568814265,135.15385702122808,0.0,-2414.243791605179,-1537.31304077746,245.4599759274655,gs://gcp-public-data-sentinel-2/tiles/28/U/GC/S2B_MSIL1C_20220116T120359_N0301_R066_T28UGC_20220116T124838.SAFE
15,779810.6113976992,5439471.7160840025,779905.1821679748,5439457.060308645,780026.6272896861,5439361.960473507,95.69964650850804,0.0,214.70312215189685,97.18718329520003,272.4787891085783,gs://gcp-public-data-sentinel-2/tiles/30/U/YV/S2B_MSIL1C_20220118T110259_N0301_R094_T30UYV_20220118T115412.SAFE
